curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
292,logistic,7,7,2.0044001668943703,0.4095214283093729,-13.870733386906997,-14.033002939741056,"3.7699,0.00581535,32.1683",Oscillatoria agardhii StrainCYA 128,15,Z8,DryWeight
293,logistic,7,7,2.8107288978791303,1.4468914584215065,-5.035449009736302,-5.197718562570363,"4.3816,0.00676806,88.0226",Oscillatoria agardhii StrainCYA 128,20,Z8,DryWeight
294,logistic,7,7,3.78470658283676,0.2410715511279334,-17.580001521745686,-17.742271074579747,"6.69118,0.00577113,189.634",Oscillatoria agardhii StrainCYA 128,25,Z8,DryWeight
295,gompertz,7,7,3.5146508814657698,0.5599533517650026,-11.680683637382964,-11.842953190217024,"5.55058,0.00621598,26.3631",Oscillatoria agardhii StrainCYA 128,30,Z8,DryWeight
296,logistic,8,8,1032727.14726171,66223109197.41852,188.6948302306141,188.9331548556536,"1.03276e+06,1.50112,68.6185",Pseudomonas sp.,15,APT Broth,CFU
297,logistic,7,7,760530.3737560818,7934214993.794599,151.9397807517798,151.77751119894577,"1.5017e+06,0.0806438,93.2944",Pseudomonas sp.,12,APT Broth,CFU
299,logistic,5,5,1674078.8671314584,195055291634.09644,127.93555494862883,126.76386868593114,"1.36179e+06,0.605228,82.1796",Pseudomonas sp.,6,APT Broth,CFU
300,gompertz,5,5,2424461.01708232,261514715680.60785,129.4015924027359,128.22990614003822,"2.06286e+06,1.57129,182.608",Pseudomonas sp.,4,APT Broth,CFU
301,logistic,6,6,560069.4392832483,486302055.498947,115.2634861976975,114.63876460538168,"1.11844e+06,0.0221632,378.545",Pseudomonas sp.,2,APT Broth,CFU
302,gompertz,151,151,7071.253794323468,73125429.39015068,1982.6514417016149,1991.7032812120597,"4102.94,0.0108188,176.689",Lactobaciulus plantarum,10,MRS,N
303,logistic,88,87,25066.493625615647,438733817.3216345,1363.1418637909892,1370.5738742344238,"9143.36,0.178672,58.4263",Lactobaciulus plantarum,15,MRS,N
304,logistic,108,108,21269.93172104953,296059572.266138,1606.9855224376013,1615.031916118974,"12148,0.222915,33.5544",Lactobaciulus plantarum,20,MRS,N
305,gompertz,89,87,27149.55312920975,583705989.7852442,1402.968172590661,1410.4340816998574,"13013.1,0.255302,18.0497",Lactobaciulus plantarum,25,MRS,N
