curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
26,gompertz,27,26,0.794666666666667,0.8268107393125403,-88.12244086286695,-84.23493026485397,"0.348262,0.404368,10.5573",Pantoea.agglomerans.2,15,TSB,OD_595
27,quadratic,22,22,0.1680000000000006,0.004274590200094236,-182.01440887182,-178.74128151174506,"0.0081961,0.00119636,-2.31609e-06",Bacillus.pumilus,15,TSB,OD_595
27,cubic,22,22,0.1680000000000006,0.0014857308829698147,-203.26359988978538,-198.89943007635213,"-0.0103751,0.00180279,-5.65611e-06,4.7023e-09",Bacillus.pumilus,15,TSB,OD_595
27,logistic,22,22,0.1680000000000006,0.016493662158695948,-152.30807380999286,-149.03494644991792,"0.13243,0.044991,60.2613",Bacillus.pumilus,15,TSB,OD_595
27,gompertz,22,22,0.1680000000000006,0.0170141389324384,-151.62456670506648,-148.35143934499155,"0.132328,0.032697,43.5841",Bacillus.pumilus,15,TSB,OD_595
28,quadratic,23,23,0.6576936104695921,0.0951540870236812,-120.21829481805254,-116.81181217026509,"0.0462626,0.00483341,-9.41125e-06",Clavibacter.michiganensis,15,TSB,OD_595
28,cubic,23,23,0.6576936104695921,0.02771333169968591,-146.5907259001684,-142.0487490364518,"-0.027403,0.00761197,-2.5191e-05,2.25251e-08",Clavibacter.michiganensis,15,TSB,OD_595
28,logistic,23,23,0.6576936104695921,0.2508590093037129,-97.9222438790165,-94.51576123122905,"0.543779,0.0519847,57.3871",Clavibacter.michiganensis,15,TSB,OD_595
28,gompertz,23,23,0.6576936104695921,0.2640131963907521,-96.74675935376969,-93.34027670598223,"0.543237,0.0367147,42.0508",Clavibacter.michiganensis,15,TSB,OD_595
29,quadratic,23,23,0.2944357197844495,0.060264103556399724,-130.72379591823557,-127.31731327044812,"0.0526466,0.00161634,-3.25233e-06",Pseudomonas.fluorescens.1,15,TSB,OD_595
29,cubic,23,23,0.2944357197844495,0.014717356205016139,-161.14710607771863,-156.60512921400203,"-0.00707988,0.00388701,-1.61728e-05,1.84612e-08",Pseudomonas.fluorescens.1,15,TSB,OD_595
